pacrat;pacreu;lbrat;lbreu;interception;controlerate;passedecisive;aeriengagne;aerienperdue;tir_en_dehord_de_surface;tir_six_metre;tir_surface_reparation;potentiel
1.1;7.5;0.6;0.1;0.4;0.4;0.1;0.1;0.1;0;0;0;6.28
1;6;0.3;0.3;0;0;0;0.3;0.7;0;0;0;6.2
0.5;8.5;0.3;0.1;0.1;0.3;0;0.4;0.4;0;0;0;6.14
0.7;6.3;0.3;0;0.3;0.3;0;0.3;0;0;0;0;6.05
0.6;6.5;0.4;0.3;0.5;0.1;0;0;0.1;0;0;0.1;6.17
0;6;0.7;0;0.7;0;0.3;0.3;0.3;0;0;0;6.28
0.8;5.5;0.4;0.4;0.1;0.1;0;0;0.5;0.1;0;0;6.07
0;3.7;0.3;0.3;0;0;0;0;0;0;0;0;6.26
0.4;4.8;0.4;0.3;0.3;0.1;0;0.2;0.2;0;0;0.1;6.15
1;6.9;1.1;1.1;0.3;0.1;0;0.6;0.3;0;0;0.2;6.19
1.3;2.7;0.3;0.7;0.3;0;0;0;0;0;0;0;6.11
2;12.4;0.4;1.6;0.6;0.2;0;0.2;0;0.1;0;0;6.13
1.2;5.4;0.5;0.3;0.2;0;0;0.5;0.2;0;0;0.1;6.2
0;8.3;0;1.7;0;0;0;0.3;0.3;0;0;0;6.1
0.8;9.4;1;2;0.2;0;0;0.4;0.2;0;0;0;6.22
1.1;6;0.4;0.5;0.2;0;0;0.4;0.5;0;0;0;6.16
0.3;4.3;0.3;0.7;0.3;0;0;0.7;0.3;0;0;0;6.13
0.8;4.2;1.2;0.8;0.6;0;0;0.2;0;0;0;0;6.21
1.3;4.5;0.5;0.6;0.3;0;0;0.3;0.2;0;0;0;6.17
0.7;6.7;0.7;0.7;0;0;0;0.7;0;0;0;0;6.07
1.2;9.2;0.4;0.2;0.6;0;0;1.2;0.2;0;0;0;6.23
1.1;4.8;0.6;0.5;0.2;0.1;0;0.6;0.1;0;0;0.1;6.1
0.3;5.3;0;1;0.3;0;0;1;0.3;0;0;0;6.31
0.8;6.4;0.8;0.4;0.4;0;0;0.4;0.4;0;0;0.2;6.14
0.9;4.8;0.5;0.3;0.2;0.1;0;0.6;0.6;0.1;0;0.1;6.13
0;3.3;0;0;0;0;0;0.3;0.3;0;0;0;6.23
1;8.4;0.8;0.2;0.4;0.2;0;0.8;0.2;0;0;0.2;6.22
0.8;7.6;0.2;0.9;0.3;0.1;0;0;0.2;0;0;0;6.09
1;4.3;0.7;0.3;0;0.3;0;0;0;0;0;0;6.09
